reader_id,content_id,time_spent
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,02341F74-40B9-4883-B18E-274DE6312AEC,18 days 23:51:41
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,342AB2F9-BEF8-490D-B84E-738C3D39BCE0,16 days 14:42:03
B531CBDE-0CC7-4142-8872-F1DF0191F341,B9FADCBE-6733-4DFC-85F1-70BF78A4005C,15 days 07:08:47
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,C3CD27E2-2E64-4CDF-A32B-223550CDDB60,9 days 22:51:36
B9A189BA-0F7C-487A-8A29-4BEC47C9A5C0,584AB820-61D3-4FC7-9A00-110E7FC65457,6 days 11:51:23
00C0AEA7-D9DC-470E-BDFE-D7DE8889F777,E6607E09-9D97-4DF7-AAF5-BD1286F1E633,6 days 04:49:54
5695F563-2392-44AC-8FA5-C47DCA1CC746,7603306D-261D-4DC2-ACD7-46F05AAADD95,5 days 23:41:00
C754F7F4-3E2B-461E-A951-16951D3636F7,C0A01206-F952-4D6C-B394-5A4C69B02A32,5 days 03:07:48
452CA324-3ED4-4618-8B3C-93EB4C118316,9BEF6288-69B6-41D4-8FA2-B12C1C2DB637,4 days 23:58:27
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,059330AC-D3F5-45D3-8D7F-4DBA1DB3CBBD,4 days 03:31:19
F8CA8FF3-84E8-43F6-B7F8-9B58F36E3308,D2C9A234-B6BD-4F59-B172-12792906B02B,3 days 06:09:53
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,8A9859FC-1D98-4E65-A7DE-6E44AF1AAF98,3 days 04:39:47
B32FE509-0A46-4225-9A0D-CCCE4617B975,0B96DDF8-3EC8-47D7-AC0B-0A94BDB26100,3 days 00:03:00
D194FB0E-6561-4E20-BBCE-18FB563BF910,1C94223E-610B-4103-9FE3-E9FAC6B613E5,2 days 21:28:18
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,A6B22784-5A8F-4FDE-A05C-F4978B23C6B8,2 days 17:33:08
886FA58C-645C-41D3-9087-F2C37D472F44,1CECA036-19B1-436B-8B93-C662B6A4D42A,2 days 11:07:59
C4A6CF2B-6957-4080-86A6-1891E78BE826,24A0074D-3922-4D2D-BBEA-610F00D7E721,2 days 00:47:18
15E9D6AE-B5A5-45DE-8A2B-1EBFDB6B2F07,77D9FACA-2E63-4AB2-B414-A9914CD561A5,1 days 21:18:41
9ABEFF2C-31F5-410D-93B2-C73AA9578E05,35DF7AF5-C24E-41B1-B052-016685B26990,1 days 11:27:47
587F3DBD-6A3E-4550-B6FF-9A0B19783EEB,24AED0D7-5FD9-47E3-AA72-6CCE04ED2CFA,1 days 08:26:29
