viewer_id,content_id,viewtime
00AD69AA-8C1A-4BA4-9221-24AF0AC92A38,13BCAB7C-D84E-46E7-B99C-EA589B880F5D,0 days 00:00:11
00AD69AA-8C1A-4BA4-9221-24AF0AC92A38,3102750F-D246-47CE-AC5E-1701A1BFD1EB,0 days 00:00:09
00AD69AA-8C1A-4BA4-9221-24AF0AC92A38,378DC398-7211-4498-89EA-C40088563C0D,0 days 00:01:03
00AD69AA-8C1A-4BA4-9221-24AF0AC92A38,BD0A962E-13ED-4054-9920-45912B4C59BE,0 days 00:00:11
00AD69AA-8C1A-4BA4-9221-24AF0AC92A38,E5D7A079-2A15-47D6-A261-B7C8A977AC8F,0 days 00:04:56
00AD69AA-8C1A-4BA4-9221-24AF0AC92A38,F106DCAA-C3E2-4814-A78C-3E3527DEDF95,0 days 00:00:21
00D58463-86EE-408D-986C-4C1B637BCB15,9598AF55-B0CE-4361-9F9F-D11EDBC0C16D,0 days 00:00:21
029AB6CF-BDDA-43D8-BDC1-5611CBEC5A11,03C176C9-493F-49AE-9FF6-BCFC82738A76,0 days 00:08:55
0452CECC-16F9-4538-A5F8-CD2F78877482,360A539A-ADA8-4070-BEF9-1B45223428DB,0 days 00:00:01
0452CECC-16F9-4538-A5F8-CD2F78877482,3C2763B4-CADB-498E-BF80-A4D959E5A3FB,0 days 00:00:00
0452CECC-16F9-4538-A5F8-CD2F78877482,90CE44E2-D037-4BEB-9E4C-1B10EC787063,0 days 00:00:03
0452CECC-16F9-4538-A5F8-CD2F78877482,9651BC3F-5024-4C79-8375-541DD83B98CA,0 days 00:00:06
0452CECC-16F9-4538-A5F8-CD2F78877482,B682794E-AA1E-4D42-A70F-5978B4D9101F,0 days 00:00:00
0452CECC-16F9-4538-A5F8-CD2F78877482,C125A359-A9C1-4EEA-A550-D44CECB7202D,0 days 00:00:32
04D3F0C5-A6E5-46E3-9A74-5FBD31F567D7,3CA2D669-0E29-40A4-BC4E-F324077B8205,0 days 00:00:25
055CCDA1-9B56-476A-888B-7302E5778F7A,53251F1F-ED18-4BCD-B144-10545A3F9FF0,0 days 00:00:27
05F8DE47-4C48-40B5-9D13-C82A7476D05E,0300311C-E1F3-4FA9-A0BE-074A1EBA8C61,0 days 00:00:18
05F8DE47-4C48-40B5-9D13-C82A7476D05E,09AC2750-B4DC-452E-AD70-B9550A4FBF57,0 days 00:06:02
060E5429-F6B1-40E6-8C48-6966D1E086BC,6A66DDC9-87E6-4B78-8664-3B7671DC2686,0 days 00:11:30
06419589-6841-4A3A-B55A-BAE3E89D0CE9,4C098E3A-183E-4A4C-938F-7429B273B787,0 days 00:03:00
06539BD3-5C61-459A-86A1-EACBAAB4B467,803F7A6C-981C-4295-875D-55D608A09573,0 days 00:00:26
070799F6-3EC5-4099-A562-16128660482F,415FF938-49CB-4356-A538-7C552569CBE1,0 days 00:02:08
0759E1C6-D500-4AF2-931F-841A5D137F13,3DAD9472-12B6-4581-940A-674F59347C2D,0 days 00:00:22
081EFA3D-C4F4-4CDB-9B8E-8E7EEDBB8507,D9734459-DEEA-43FA-899B-4507B5DCA7B8,0 days 00:01:47
08E025BD-E90A-4F24-813D-DE2503C1DAB0,5B481506-75BC-4E43-94EE-23D496178568,0 days 00:26:21
09761691-CB3D-4E0B-8946-3B9AA12F3EF4,74B0983E-5492-4C1A-B18D-851F2E930748,0 days 00:05:05
09761691-CB3D-4E0B-8946-3B9AA12F3EF4,D96360A1-5FC6-4B11-BBCD-78BDFE6CB5C6,0 days 00:02:45
0A97CD2C-F305-43D3-A957-C0AC35F5CE2A,962553EA-5191-48BA-AADC-B518D9C089BA,0 days 00:09:43
0B077135-4620-404F-8BFD-6392494BC0D4,ACADB746-AE99-4259-8638-63626026392E,0 days 00:01:39
0B077135-4620-404F-8BFD-6392494BC0D4,D4B3124A-C8B1-4433-9F1C-B310FC6AD43D,0 days 00:02:59
0B077135-4620-404F-8BFD-6392494BC0D4,E0C3D99C-5D54-4A30-9BF3-66C054F7B3BA,0 days 00:00:31
0B077135-4620-404F-8BFD-6392494BC0D4,F20EA8D8-6267-4BEF-BAC0-484768CE4B1E,0 days 00:01:52
0CC6CD76-D288-428B-A0A5-7DF983BC8C4C,2C372B30-4494-4D46-8136-01B4E1174FEA,0 days 00:00:46
122699F1-1C24-46DB-938C-DA0219856D00,65B18157-B2D9-48FA-B2F9-5411B3E819DC,0 days 00:00:11
12CEFBF6-CBE9-46DF-BF08-D2B94D34F730,9277434B-E546-42CD-A18B-CDEEC3972225,0 days 00:02:02
14748125-EF74-42D1-9C08-5D546335906B,0865D539-0DA2-4736-A9BB-8D8299964F13,0 days 00:01:02
14AF2B4B-595F-4C5E-9E41-F63D9946FA02,D1B78AF6-491C-4E74-9C59-D36E637242ED,0 days 00:03:10
14CD4307-7F24-4220-ADA9-3BB389749439,0300311C-E1F3-4FA9-A0BE-074A1EBA8C61,0 days 00:00:01
14CD4307-7F24-4220-ADA9-3BB389749439,05731644-C616-48C1-A07A-C9B079FB8E60,0 days 00:00:08
14CD4307-7F24-4220-ADA9-3BB389749439,0DAB78E8-B87B-4092-937B-B5D835062151,0 days 00:00:10
